target_harmonized,modality,quadrant,clinical_performance_Y,clinical_label,clinical_decisive_n,clinical_confidence,n_trials,epitope_crowding_X,x_status,fto_l1_epitope,fto_l2_format,fto_l3_use,fto_l1_lock_count,patents_grounded,ip_modalities,key_patent,blocking_assignee,x_resolved,y_resolved
HER2-DXD,ADC,UNRESOLVED,1.0,VALIDATED,14,1.0,22,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC,,,False,True
PD-1,MAB,UNRESOLVED,1.0,VALIDATED,705,1.0,2847,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC|BISPECIFIC|MAB,,,False,True
PD-L1,MAB,UNRESOLVED,1.0,VALIDATED,209,1.0,766,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC|MAB,,,False,True
TROP-2-DXD,ADC,UNRESOLVED,1.0,VALIDATED,16,1.0,17,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC,,,False,True
VEGF,MAB,UNRESOLVED,1.0,VALIDATED,348,1.0,854,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC|MAB,,,False,True
VEGFR2,MAB,UNRESOLVED,1.0,VALIDATED,27,1.0,51,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,MAB,,,False,True
CTLA-4,MAB,UNRESOLVED,0.999,VALIDATED,57,1.0,140,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,MAB,,,False,True
PD-1|VEGF,BISPECIFIC,UNRESOLVED,0.997,VALIDATED,14,1.0,55,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
EGFR|MET,BISPECIFIC,UNRESOLVED,0.993,VALIDATED,8,1.0,40,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
HER2,ADC,UNRESOLVED,0.989,VALIDATED,31,1.0,221,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC|BISPECIFIC|MAB,,,False,True
MET-MMAE,ADC,UNRESOLVED,0.989,VALIDATED,10,1.0,12,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD19|CD3,BISPECIFIC,UNRESOLVED,0.98,VALIDATED,10,1.0,42,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
CLDN18.2,MAB,UNRESOLVED,0.978,VALIDATED,7,1.0,20,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC|BISPECIFIC|MAB,,,False,True
HER2,BISPECIFIC,UNRESOLVED,0.973,VALIDATED,8,1.0,27,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC|BISPECIFIC|MAB,,,False,True
TROP-2-KL610023,ADC,UNRESOLVED,0.972,VALIDATED,5,1.0,14,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
HER2-TOP1I,ADC,UNRESOLVED,0.97,VALIDATED,6,1.0,11,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD20|CD3,BISPECIFIC,UNRESOLVED,0.948,VALIDATED,13,1.0,58,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC|BITE,,,False,True
HER2|PD-1,MAB,UNRESOLVED,0.926,VALIDATED,4,1.0,27,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
DLL3|CD3,BISPECIFIC,UNRESOLVED,0.912,VALIDATED,3,1.0,28,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
TISSUE FACTOR,ADC,UNRESOLVED,0.912,VALIDATED,3,1.0,7,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC|MAB,,,False,True
VEGF|MUC16,MAB,UNRESOLVED,0.912,VALIDATED,5,1.0,15,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
CD19|CD22,CAR-T,UNRESOLVED,0.881,VALIDATED,13,1.0,75,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,True
HER2|HER3,BISPECIFIC,UNRESOLVED,0.858,VALIDATED,3,1.0,4,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
CD30-MMAE,ADC,UNRESOLVED,0.85,VALIDATED,2,0.67,6,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC,,,False,True
EPCAM|CD3,BISPECIFIC,UNRESOLVED,0.85,VALIDATED,4,1.0,11,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
PD-1|CTLA-4,BISPECIFIC,UNRESOLVED,0.846,VALIDATED,4,1.0,24,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,True
